MicroRNA;Research field;Study ;Medium;Finding;Function;;;;;;;
miR-6811-3p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific;;;;;;;;
miR-4476;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific;;;;;;;;
miR-6840-3p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific. Significant positive correlation between serum and CSF. ;;;;;;;;
hsa-miR-22 ;MS;"Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Blood? Serum and MS brains.;Significantly different while comparing RR vs HC. Significantly upregulated in WMLs of progressive MS brains. Pathogenic association with lesion severity.;;;;;;;;
hsa-miR-30e;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs HC with the strongest association.;Targets IL-10.;;;;;;;
hsa-miR140-3p;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs HC;Regulates TNF-induced activation of NF-Kb and is a functional regulator of Schwann cell remyelination.;;;;;;;
hsa-miR-210;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs HC;;;;;;;;
hsa-miR-500;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs HC. Significantly different while comparing RR vs SP;T-cell and neutrophil-specific marker.;;;;;;;
hsa-miR-574-3p;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs HC. Significantly different while comparing RR vs SP.;Marker for monocyte and plasmacytoid dendritic cells.;;;;;;;
hsa-miR-let-7a;MS;"1. Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740. 2. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Blood? Serum and MS brains.;Significantly different while comparing SP vs HC. Significantly downregulated in WMLs. ;Targets immune pathways related to TLR, IL-12 and TGF. Regulates also stem cell differentiation and neurogenesis. ;;;;;;;
hsa-miR-92a-1;MS;"1. Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740. 2. Maier S, Barcutean L, Andone S, Manu D, Sarmasan E, Bajko Z, Balasa R. Recent Progress in the Identification of Early Transition Biomarkers from Relapsing-Remitting to Progressive Multiple Sclerosis. Int J Mol Sci. 2023 Feb 22;24(5):4375..";Blood?;Significantly different while comparing RR vs SP. Associated with EDSS and disease duration.;Targets CD40 pathways which are upregulated in progressive MS via IL-12 and IFN-gamma secretion. Targets genes involved in cell cycle regulation and cell signaling, modulation and activation of naïve CD4+ T lymphocytes.;;;;;;;
hsa-miR-135a;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs SP;Onco-miRNA that regulates activation of transcription factors JAK2 and Stat3.;;;;;;;
hsa-miR-454;MS;Gandhi, R., Weiner, H.L. et al. (2013), Circulating MicroRNAs as biomarkers for disease staging in multiple sclerosis. Ann Neurol., 73: 729-740.;Blood?;Significantly different while comparing RR vs SP. Associated with EDSS. ;;;;;;;;
miR-92a;EAE, MS;"Fujiwara M, Gandhi R, et al. microRNA-92a promotes CNS autoimmunity by modulating the regulatory and inflammatory T cell balance. J Clin Invest. 2022 May 16;132(10):e155693.";;In EAE induced miR-92a mice, the EAE onset was delayed and disease severity attenuated., Th1 and Th17 cells reduced and increased Tregs. Rag1–/– recipients that received CD4+ T cells from Mir92a–/– mice developed attenuated EAE compared with Rag1–/– recipients that received WT cells . Elevated in  in total CD4+ T cells from untreated MS patients compared with HC.;miR-92a promotes Th17 development by targeting Foxo1. miR-92a inhibitor treatment ameliorates EAE.;;;;;;;
miR-233;EAE;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;Required for removing myelin debirs and promote remyelination. Dysregulated in myeloid cells from MS patients.;Activation and phagocytosis of debris M2 myeloid cells ;;;;;;;
miR-155-3p ;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;Upregulated in response to demyelination and to promote microglia activation and increase the production of pro-inflammatory mediators, tumor necrosis factor (TNF)-?, interleukins (IL-1, IL-6) and nitric oxide (NO), through the negative regulation of the SOCS1 signaling pathway. (In murine BV2 microglia);;;;;;;;
miR-204;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;;Target gene of Sox10, a critical regulator in the development of oligodendroglia. Suppresses OPC proliferation and promote oligodendrocyte differentiation by inhibiting pro-proliferative Ccnd2 and differentiation-inhibiting Sox4.;;;;;;;
miR-219;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";White matter lesions of MS brains.;The lack of detection of CSF miR-219 has been associated with MS in all three cohorts of patients (RRMS, SPMS, PPMS) compared to controls. miR-219-5p was signficantly downregulated in WMLs of progressive MS brains. ; Promotes OPCs differentiation in mature oligodendrocytes by targeting the expression of platelet-derived growth factor receptor (PDGFR)?, Sox6, FoxJ3, and zinc finger protein (ZFP) 238, which result in inhibition of OPCs proliferation and pass to the oligodendrocyte differentiation phase. Decreased in the cerebrospinal fluid of MS patients;;;;;;;
miR-125a-3p;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;The abnormally high levels of miR-125a-3p in the CSF of MS patients with active demyelinating lesions have been reported. This miRNA molecule was also upregulated in active lesions of MS patients and in OPCs isolated from the spinal cord of EAE.;Over-expression of miR-125a-3p impairs maturation, while inhibiting it stimulates maturation. Its targets are Slc8a3 and Gas7 , with Gas7 necessary for correct oligodendrocyte terminal maturation.;;;;;;;
miR-212;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;Reduced expression of miR-212 improved the cell process outgrowth of oligodendrocytes and up-regulated genes associated with their differentiation and maturation, including OLIG1, SOX10, MBP, and PLP1.;;;;;;;;
miR-27a;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;Found in OPCs associated with MS lesions and in animal models of demyelination.;;;;;;;;
miR-297c-5p;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;;A negative regulator of OPCs proliferation and a positive regulator of oligodendrocyte maturation by targeting cyclin T2 (CCNT2), the regulatory subunit of positive transcription elongation factor b, which inhibits oligodendrocyte maturation.;;;;;;;
miR-23;MS;"Maciak K, Dziedzic A, Saluk J. Remyelination in multiple sclerosis from the miRNA perspective. Front Mol Neurosci. 2023 Jun 1;16:1199313";;;Enhances oligodendrocytes differentiation in mice.;;;;;;;
miR-10b-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with T2LV (), downregulated in MS vs HC ;;;;;;;;
miR-1271-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with BPF (brain parenchymal fraction), GMF (gray matter fraction, cortical), protective association with T1:T2;;;;;;;;
miR-139-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with T2LV and EDSS;Neutrophin signaling, adherens junction, TNF-signaling, NF-Kb and estrogen signaling ;;;;;;;
miR-145-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with T2LV, spinal cord T2LV and UCCA (upper cervical cord area) ;ECM-receptor interaction, focal adhesion, adherens junction and TGF-beta signaling;;;;;;;
miR-193a-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with BPV (brain parenchymal volume) and cortical GMV ;ECM-receptor ;;;;;;;
miR-195-5p;MS;"1. Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530;                                                                                              2. Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum;Pathogenic association with T2LV, GMF, EDSS, upregulated in MS vs HC ;AJ, EBV infection and TGF-beta signaling;;;;;;;
miR-1972;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with UCCA and EDSS ;;;;;;;;
miR-22-3p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Downregulated in MS vs HC, pathogenic association with T2LV ;TGF-beta signaling, AJ, EBV and focal adhesion;;;;;;;
miR-28-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Protective association with T1:T2 and EDSS, upregulated in MS vs other autoimmune diseases, SP and PP vs other neurological diseases, SP vs RR and dowregulated in MS vs HC ;AJ and ECM-receptor interaction;;;;;;;
miR-32-3p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Protective association with T2LV and BPF ;AJ;;;;;;;
miR-330-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Protective association with T2LV  ;;;;;;;;
miR-345-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with T2LV, upregulated in MS vs HC ;;;;;;;;
miR-361-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with GMF, protective association with T1:T2;AJ and ECM-receptor interaction;;;;;;;
miR-503-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Pathogenic association with BPF;;;;;;;;
miR-660-5p;MS;"Hemond CC, Gandhi R, et al. MRI phenotypes in MS: Longitudinal changes and miRNA signatures. Neurol Neuroimmunol Neuroinflamm. 2019 Feb 14;6(2):e530";Serum;Protective association with BPF, upregulated in SP and PP vs other neurological disease, RR vs SP, and protective association with EDSS;;;;;;;;
miR-122-5p;MS;"Selmaj I, Cichalewska M, Namiecinska M, Galazka G, Horzelski W, Selmaj KW, Mycko MP. Global exosome transcriptome profiling reveals biomarkers for multiple sclerosis. Ann Neurol. 2017 May;81(5):703-717.";Total blood EV;Differentially expressed between controls and RRMS in remission and relapse, downregulated in the RRMS relapse vs HC, downregulated in relapse vs remission, lower concentration in Gd positive patients ;Most likely produced by PBMCs, when stimulated with proinflammatory TLR2/4, TLR7 and mitogenic stimulation ;;;;;;;
miR-196-5p;MS;"Selmaj I, Cichalewska M, Namiecinska M, Galazka G, Horzelski W, Selmaj KW, Mycko MP. Global exosome transcriptome profiling reveals biomarkers for multiple sclerosis. Ann Neurol. 2017 May;81(5):703-717.";Total blood EV;Differentially expressed between controls and RRMS in remission and relapse, downregulated in the RRMS relapse vs HC, downregulated in relapse vs remission, lower concentration in Gd positive patients ;Most likely produced by PBMCs, when stimulated with proinflammatory TLR2/4, TLR7 and mitogenic stimulation ;;;;;;;
miR-301a-3p;MS;"Selmaj I, Cichalewska M, Namiecinska M, Galazka G, Horzelski W, Selmaj KW, Mycko MP. Global exosome transcriptome profiling reveals biomarkers for multiple sclerosis. Ann Neurol. 2017 May;81(5):703-717.";Total blood EV;Differentially expressed between controls and RRMS in remission and relapse, downregulated in the RRMS relapse vs HC, lower concentration in Gd positive patients ;Most likely produced by PBMCs, when stimulated with proinflammatory TLR2/4, TLR7 and mitogenic stimulation ;;;;;;;
miR-532-5p;MS;"Selmaj I, Cichalewska M, Namiecinska M, Galazka G, Horzelski W, Selmaj KW, Mycko MP. Global exosome transcriptome profiling reveals biomarkers for multiple sclerosis. Ann Neurol. 2017 May;81(5):703-717.";Total blood EV;Differentially expressed between controls and RRMS in remission and relapse, downregulated in the RRMS relapse vs HC, downregulated in relapse vs remission, lower concentration in Gd positive patients ;Most likely produced by PBMCs, when stimulated with proinflammatory TLR2/4, TLR7 and mitogenic stimulation ;;;;;;;
miR-145;MS;"1. Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440. 2. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Blood cells. Serum and MS brains.;Upregulated in RRMS vs HC. Differentially expressed between normal myelinated and demyelinated regions in MS brains. Upregulated in WMLs.Pathogenic association with lesion MRI severity.;;;;;;;;
miR-186;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-664;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-20b;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Downregulated in RRMS vs HC ;;;;;;;;
miR-422a;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-142-3p;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-584;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440. Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";Blood cells. MS brains.;Upregulated in RRMS vs HC. Downregulated in GMLs of progressive MS brains. ;;;;;;;;
miR-223;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-1275;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-491-5p;MS;"Keller A, Meese E. Multiple sclerosis: microRNA expression profiles accurately differentiate patients with relapsing-remitting disease from healthy controls. PLoS One. 2009 Oct 13;4(10):e7440";Blood cells ;Upregulated in RRMS vs HC ;;;;;;;;
miR-370-3p;MS ;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to HC;;;;;;;;
miR-409-3p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to HC;;;;;;;;
